ID;title;description;content;item_from;item_type;item_source;permalink;tags;"ClassificaÁ„o da Obra";;"Tipo de Materia";"Ano de PublicaÁ„o";Autor;Ilustrador;Tradutor;EdiÁ„o;Editora;"SÈrie (ColeÁ„o)";"Local de PublicaÁ„o";ISBN/ISSN;"N˙mero de P·ginas";Resenha;Volume;PremiaÁ„o;Files
141;"Miss„o : assustar a irm„";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=141;;;;;;;;;;"Melhorament os";;;"85-06-03783-
2";;;;;
181;"A menina e o vento";"Autor: Machado, Ana Maria HonÛrio, Ana-Beli Ano:  1993,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=181;;;;;;;;;;Bloch,;;;"85-258-0496-
7";;;;;;
182;"O p·ssaro do limo verde";"Autor: Nazareth, Carlos Augusto, Nazareth, LuÌs Philipe, Ano:  2003,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=182;;;;;;;;;;"Franco Editora";;;"85-88600-54-
4";;;;;;
183;"Oficinas de histÛrias: projeto curricular de ciÍncias sociais e de histÛria";"Autor: Grinberg, Keila LagÙa, Ana Maria Mascia
Grinberg, L˙cia Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=183;;;;;;;;;;Dimens√£o,;;;"978-85-7319-
374-3";;;;;;
184;"Luz e forÁa movimentando a histÛria /";"Autor: Centro da MemÛria da Eletricidade no Brasil Ano:  2003,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=184;;;;;;;;;;"O Centro";;;"8585147563
(enc.)";;;;;;
185;"Como e por que ler os cl·ssicos universais desde cedo";"Autor: Machado, Ana Maria, Ano:  2010,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=185;;;;;;;;;;Objetiva;;;"9788573024
494 (broch.)";;;;;;
186;"A imagem nos livros infantis
- caminhos para ler o texto visual -";"Autor: Ramos, GraÁa Ano:  2011,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=186;;;;;;;;;;Aut√™ntica;;;"9788575265
345 (broch.)";;;;;;
187;I;"Autor: Paiva, Fl·vio Dim
Nice Firmeza Ano:  2004,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=187;;;;;;;;;;Cortez;;;"85-249-1076-
3";;;;;;
188;"Literatura infantil e juvenil : uma proposta interdisciplinar.";"Autor: Furtado, Anna Maria Garzone
Bastazin, Vera Ano:  2007,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=188;;;;;;;;;;"Ed.
Articula√ß√£o Universidade
/Escola,";;;"9788587889
133 (broch.)";;;;;;
189;"Alice de A a Z.";"Autor: Messias, Adriano. Vaz, MÙnica. Ano:  2012,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=189;;;;;;;;;;RHJ;;;"978-85-7153-
287-8";;;;;;
190;"Irm„o negro";"Autor: Carrasco, Walcyr Herrero Ano:  1995,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=190;;;;;;;;;;Moderna;;;"85-16-01307-
3";;;;;;
191;"Mwindo e o draÁ„o";"Autor: Galdino, Luiz Borges, RogÈrio Ano:  1988,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=191;;;;;;;;;;FTD;;;;;;;;;
192;"AlÈm da floresta m·gica";"Autor: Caldevilla, Vinicius Scatamacchia, Cl·udia Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=192;;;;;;;;;;Moderna;;;"85-16-01943-
8";;;;;;
193;"Quinquim Labareda";"Autor: Penteado, Maria HeloÌsa Ano:  1988,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=193;;;;;;;;;"4. ed.";"Editora √Ågape";;;"85-08-00585-
7";;;;;;
194;"O chapÈu que virou gente";"Autor: Martini, Cl·udia Giannubilo Francisquetti, Ana Alice Ano:  1986,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=194;;;;;;;;;"3. ed.";"Salesiana Dom Bosco,";;;;;;;;;
195;"Curvo ou reto : olhar secreto.";"Autor: Machado, Ana Maria.
Baeta, Luisa. Ano:  2010,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=195;;;;;;;;;"1. ed.";Global;;;"978-85-260-
1492-3";;;;;;
196;"Boi, boiada, boiadeiro";"Autor: Rocha, Ruth, Silva, Antonio JosÈ da Ano:  1987,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=196;;;;;;;;;;"Quinteto Editorial,";;;;;;;;;
197;"A caverna das maravilhas";"Autor: Kirby, Mathew J. e Boide, Alexandre. Ano:  2014.";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=197;;Juvenil::Romance/FicÁ„o;;Livro;2014;;;"Wonders,  Cave of.";"1. ed.";Seguinte;"Infinity Ring";"S√£o Paulo";"9788565765
459";205;;;;;
199;"A melhor amiga do lobo";"Autor: Silva, DeonÌsio da Melo, Sandro Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=199;;;;;;;;;;Caramelo;;;"85-7340-266-
0";;;;;;
200;"Faz de conto";"Autor: Quintana, M·rio Colasanti, Marina Furnari, Eva Scatamacchia, Cl·udia Spacca
Martinez, Enrique Orlando Colasanti, Marina Muralha, SidÛnio Coralina, Cora
Cascudo, LuÌs da C‚mara Orthof, Sylvia
Brand„o, Ign·cio de Loyola Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=200;;;;;;;;;;Global;;;"85-260-0773-
4";;;;;;
201;"Jo„o Ubaldo Ribeiro";"Autor: Ribeiro, Jo„o Ubaldo ProenÁa Filho, DomÌcio Sandroni, Laura Ano:  2004,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=201;;;;;;;;;;"Nova Fronteira";;;"85-209-1608-
2";;;;;;
202;"A bela Adormecida";"Autor: Stahel, Monica Laboudigue, MaÔtÈ Ano:  1993,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=202;;;;;;;;;;Scipione,;;;"85-262-2057-
8";;;;;;
203;"A pequena vendedora de fÛsforos";"Autor: Andersen, Hans Christian Koralek, MichËle Iris
Rey, Jeff Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=203;;;;;;;;;;Scipione;;;"85-262-3171-
5";;;;;;
204;"O patinho feio e outros contos de Andersen";"Autor: Andersen, Hans Christian Albergaria, Lino de Franco, M·rcia Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=204;;;;;;;;;"3. ed.";L√™;;;"85-329-0312-
6";;;;;;
205;"Cinderela e outros contos de Grimm";"Autor: Souza, Angela Leite de Haddad, Mari‚ngela Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=205;;;;;;;;;"3. ed.";"Editora L√™,";;;"85-329-0336-
3";;;;;;
206;"Contos de Grimm";"Autor: Gaudasinska, Elzbieta Jahn, Heloisa Ano:  1996,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=206;;;;;;;;;;"Companhia das Letrinhas,";;;"85-85466-59-
6";;;;;;
207;"Os trÍs porquinhos";"Autor: Ross, Tony Ano:  1995,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=207;;;;;;;;;"2. ed.";"Martins Fontes,";;;"85-336-0416-
5";;;;;;
208;"O gato de botas";"Autor: Nascimento, Jones, Jones, Robert Ano:  [198-?].,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=208;;;;;;;;;;Ediouro,;;;"85-00-21-
081-8";;;;;;
209;I;"Autor: Grimm, Irm„os HelÙ Ano:  [1991?].,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=209;;;;;;;;;;"Brasil- Am√©rica,";;;"85-272-0086-
4";;;;;;
210;"O negrinho do pastoreio";"Autor: Guedes, Hardy Grudzien, Heliana Ano:  1998,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=210;;;;;;;;;;HGF,;;;"85-86295-13-
2";;;;;;
211;"Mitos: o folclore do mestre AndrÈ";"Autor: Xavier, Marcelo, Campos, Gustavo Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=211;;;;;;;;;;"Formato Editorial,";;;"85-7208-184-
4";;;;;;
212;"Lendas do Brasil";"Autor: Magalh„es, Elsa Pestana, Gab·n, Jes˙s
Ib·Òes, Celia Ruiz Ano:  2004,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=212;;;;;;;;;;Girassol,;;;"85-7488-385-
9";;;;;;
213;"As melhores lendas do Nordeste";"Autor: Rodrigues, Edmundo, Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=213;;;;;;;;;;Consultor,;;;"85-85206-68-
6";;;;;;
214;"XakxÛ: a lenda do fogo";"Autor: Guedes, Hardy, SzÈliga, M·rcia, Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=214;;;;;;;;;"2. ed.";HGF;;;"978-85-
86295-03-5";;;;;;
215;"Por quem chora Potira? lenda indÌgena";"Autor: Melo, Augusta Faro Fleury de,
Francisco, Valderi Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=215;;;;;;;;;;Kelps,;;;;;;;;;
216;"Homero: aventura mitolÛgica.";"Autor: Aguiar, Luiz Antonio. Ano:  2014.";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=216;;"Literatura Universal::Cl·ssicos";;Livro;2014;;;;"1. ed.";"Galera Record";;"Rio de Janeiro";"9788501102
072";246;;;;;
218;"O livro dos primeiros socorros do menino maluquinho";"Autor: Pinto, Ziraldo Alves Rosman, Roberta Bacaltchuk, Tzvi Mendes, Miguel Bertho, Charles Periquito, Marco Ano:  2006,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=218;;;;;;;;;;"Melhorament os";;;"85-7406-236-
7";;;;;;
219;I;;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=219;;;;;;;;;;Moderna;;;"85-16-02953-
0";;;;;;
220;"O gamb·";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=220;;;;;;;;;;Biruta,;;;"9788578480
493 (broch.)";;;;;;
221;"Gente, bicho, planta: o mundo me encanta";"Autor: Machado, Ana Maria, Ono, Walter, Ano:  1984,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=221;;;;;;;;;;"Nova Fronteira,";;;;;;;;;
222;"A Estrela-do-mar";"Autor: Genofre, Godofredo Costa, GlÛria Ano:  [s.d],";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=222;;;;;;;;;;FTD;;;;;;;;;
223;"Labirimais! : jogos de labirintos sobre o mundo animal";"Autor: Madgwick, Wendy, Hussey, Lorna Nogueira, Maria InÍs Lisboa, Aluizio Sales Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=223;;;;;;;;;;Scipione,;;;"85-262-3192-
8";;;;;;
224;"O mundinho e os bichinhos de jardim";"Autor: Bellinghausen, Ingrid Biesemeyer Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=224;;;;;;;;;;DCL,;;;"978-85-368-
1995-2";;;;;;
225;"Arte africana";"Autor: Feist, Hildegard, Hees, Luciana Justiniani. Ano:  2010,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=225;;;;;;;;;"1. ed.";Moderna,;;;"9788516066
925 (broch.)";;;;;;
226;"Por dentro da Mata Atl‚ntica, volume 2.";"Autor: Moulin, Nilson.
GisÈ. Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=226;;;;;;;;;;"Studio Nobel,";;;8585445521;;;;;;
227;"Rabisco: um cachorro perfeito.";"Autor: Iacocca, Michele. Ano:  2008,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=227;;;;;;;;;"1. ed.";√Åtica;;;"978-85-08-
1161-8";;;;;;
228;"O guarda-chuva do vovÙ";"Autor: Moreyra, Carolina. Moraes, Odilon, Ano:  2008,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=228;;;;;;;;;;"Difus√£o Cultural do Livro";;;"9788536802
466 (broch.)";;;;;;
229;"O tucunarÈ";"Autor: Paula, Luiz GouvÍa de Fittipaldi, CiÁa Ano:  [199?],";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=229;;;;;;;;;;FTD;;;"85-322-0041-
9";;;;;;
230;"A tartaruga";"Autor: Paula, Luiz GouvÍa de Fittipaldi, CiÁa Ano:  1989,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=230;;;;;;;;;;FTD;;;;;;;;;
231;"A tartaruga";"Autor: Paula, Luiz GouvÍa de Fittipaldi, CiÁa Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=231;;;;;;;;;"3. ed.";FTD;;;"85-322-0389-
2";;;;;;
232;Diversidade;"Autor: Belinky, Tatiana Luiz, SÈrgio Fernando Ano:  1999,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=232;;;;;;;;;;"Quinteto Editorial";;;"85-305-0228-
0";;;;;;
233;"Dormir fora de casa";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=233;;;;;;;;;"7. ed.";FTD;;;"85-322-0100-
8";;;;;;
234;"A tartaruga";"Autor: Paula, Luiz GouvÍa de Fittipaldi, CiÁa Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=234;;;;;;;;;"3. ed.";FTD;;;"85-322-0389-
2";;;;;;
235;"O mistÈrio da lua";"Autor: Junqueira, Sonia , Furnari, Eva. Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=235;;;;;;;;;;√Åtica,;;;"85-08-03022-
3";;;;;;
236;"O lobo e o cordeiro";"Autor: La Fontaine, Jean de, Caparelli, SÈrgio, Iwashita, CecÌlia, Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=236;;;;;;;;;"4. ed.";Kuarup.;;;"85-269-0108-
8";;;;;;
237;"ManÈ coelho e a coisa que caiu do cÈu";"Autor: FranÁa, Mary, FranÁa, Eliardo Ano:  1976,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=237;;;;;;;;;;Ediouro,;;;"85-00-30505-
3";;;;;;
238;"Dia e noite";"Autor: FranÁa, Mary , FranÁa, Eliardo, Ano:  1990,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=238;;;;;;;;;"11. ed.";√Åtica,;;;"85-08-01153-
9";;;;;;
239;"O jogo e a bola";"Autor: FranÁa, Mary, FranÁa, Eliardo Ano:  2002,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=239;;;;;;;;;"8. ed.";√Åtica,;;;"85-08-02406-
1";;;;;;
240;"A galinha choca";"Autor: FranÁa, Mary, FranÁa, Eliardo Ano:  1991,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=240;;;;;;;;;"4. ed.";√Åtica,;;;"85-08-02408-
8";;;;;;
241;"O ladr„o e a bruxa";"Autor: Esopo, Caparelli, SÈrgio, Iwashita, CecÌlia, Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=241;;;;;;;;;"4. ed.";Kuarup.;;;"85-269-0178-
8";;;;;;
242;"O amigo";"Autor: FranÁa, Mary, FranÁa, Eliardo, Ano:  1997,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=242;;;;;;;;;;√Åtica,;;;"85-08-06328-
8";;;;;;
243;Atchim!;"Autor: FranÁa, Mary, FranÁa, Eliardo, Ano:  1992,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=243;;;;;;;;;;√Åtica,;;;"85-08-04026-
1";;;;;;
244;"Que bicho ser·?";"Autor: FranÁa, Mary, FranÁa, Eliardo, Ano:  1991,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=244;;;;;;;;;;√Åtica,;;;"85-08-03795-
3";;;;;;
245;"O menino e o muro";"Autor: Junqueira, Sonia, Michele Ano:  1992,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=245;;;;;;;;;"2. ed.";√Åtica,;;;"85-08-03622-
1";;;;;;
246;"A conversa das palavras";"Autor: Masur, Jandira Teixeira, Zefl·vio Ano:  1992,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=246;;;;;;;;;"6. ed.";√Åtica,;;;"85-08-02405-
3";;;;;;
247;"PrÌncipe Pedro e o ursinho";"Autor: McKee, David, Stahel, Monica Ano:  2000,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=247;;;;;;;;;;"Martins Fontes,";;;"85-336-1291-
5";;;;;;
248;"Natureza fonte da vida: para ler e colorir";"Autor: Maia, JosÈ Carlos F. Ano:  [198?],";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=248;;;;;;;;;;SEMAGO;;;;;;;;;
249;"Conversa vai, conversa vem";;;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=249;;;;;;;;;"4. ed.";Moderna,;;;"85-16-00626-
3";;;;;;
250;"Sabido e danado";"Autor: Muniz, Fl·via AtÌlio, Cl·udio Ano:  1991,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=250;;;;;;;;;;Moderna,;;;"85-16-00460-
0";;;;;;
251;"Debaixo da lua";"Autor: FranÁa, Mary, FranÁa, Eliardo Ano:  1986,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=251;;;;;;;;;"2. ed.";"Rio Gr√°fica,";;;;;;;;;
252;Manchas;"Autor: Bueno, Renata, Ano:  2015,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=252;;;;;;;;;;Caramelo;;;"978-85-7340-
703-7";;;;;;
253;"Nem aqui, nem ali!";"Autor: FranÁa, Mary, FranÁa, Eliardo, Ano:  1994,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=253;;;;;;;;;;√Åtica,;;;"85-08-04602-
2";;;;;;
254;"Mini larousse da lÌngua portuguesa";"Autor: Fernandes, Maria Miadaira, Gilberto Ano:  2004,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=254;;;;;;;;;;"Larousse do Brasil,";;;"978-85-7635-
005-X";;;;;;
255;"O rei e o mar: 21 histÛrias bem curtinhas.";"Autor: Janisch, Heinz. Erlbrunch, Wolf. Tellaroli, Sergio. Ano:  2010,";;external;;;http://localhost/wordpress/collection/bibliotecamodelo/?object_id=255;;;;;;;;;;"Companhia das Letrinhas";;;"978-85-7406-
439-0";;;;;;
